SampleName,Type
CRC0064LMX0A02204TUMR02000,LMX
CRC0028LMX0B02204TUMR02000,LMX
CRC0099LMX0B05102TUMR03000,LMX
CRC0315PRX0A01201TUMR02000,PRX
CRC0591LMX0A02002TUMR01000,LMX
CRC0050PRX0A02203TUMR01000,PRX
CRC1162LMX0A02003TUMR01000,LMX
CRC0165LMX0A02208TUMR03000,LMX
CRC0481LMX0A03001TUMR01000,LMX
CRC0221LMX0B02202TUMR02000,LMX
CRC0240PRX0A01201TUMR05000,PRX
CRC0058LMX0A02201TUMR04000,LMX
CRC0561LMX0A02003TUMR01000,LMX
CRC0307LMX0A02201TUMR04000,LMX
CRC0555LMX0A02002TUMR01000,LMX
CRC0143LMX0B02202TUMR02000,LMX
CRC1078LMX0A02002TUMR02000,LMX
CRC1178PRX0A02003TUMR01000,PRX
CRC0358LMX0B02202TUMR08000,LMX
CRC0053LMX0B02202TUMR02000,LMX
CRC0261LMX0A02201TUMR02000,LMX
CRC0099LMX0B05099TUMR02000,LMX
CRC0624LMX0A02002TUMR01000,LMX
CRC0310LMX0B02203TUMR02000,LMX
CRC0105LMX0A02204TUMR02000,LMX
CRC1449LMX0B01001TUMR01000,LMX
CRC0356LMX0A03006TUMR05000,LMX
CRC0147LMX0B02202TUMR05000,LMX
CRC1508PRX0A01001TUMR01000,PRX
CRC0440PRX0B01001TUMR01000,PRX
CRC0117LMX0A04226TUMR02000,LMX
CRC0507LMX0A02003TUMR01000,LMX
CRC0493LMX0A03003TUMR01000,LMX
CRC1084LMX0A02003TUMR01000,LMX
CRC0099LMX0B02204TUMR03000,LMX
CRC0030LMX0B02204TUMR02000,LMX
CRC0057LMX0A02202TUMR01000,LMX
CRC0472PRX0B01001TUMR01000,PRX
CRC0419LMX0B03005TUMR01000,LMX
CRC0403LMX0A02003TUMR03000,LMX
CRC1264LMX0A03013TUMR01000,LMX
CRC0547PRX0B02001TUMR03000,PRX
CRC0161LMX0A02204TUMR04000,LMX
CRC1266PRX0B01001TUMR01000,PRX
CRC1264LMX0A02003TUMR01000,LMX
CRC0625LMX0A02002TUMR01000,LMX
CRC1239LMX0A02004TUMR01000,LMX
CRC0202LMX0B06012TUMR02000,LMX
CRC1448LMX0A01001TUMR01000,LMX
CRC0288PRX0A01201TUMR01000,PRX
CRC0458LMX0B02004TUMR08000,LMX
CRC0253LMX0A02201TUMR02000,LMX
CRC0323LMX0A02004TUMR02000,LMX
CRC1562LMX0B04005TUMR01000,LMX
